t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,t_trial_s,V'O2_filtered
0 days 00:03:01,,-,0.602399721474182,10.9926956473391,0.685730132397653,-,44.5988752024206,1.13833075938273,28.43,30.64754,11.6967495690585,3.28984778401393,180.283658563963,164.043443992796,0.0,1.0,0.6024646348954309
0 days 00:03:02,,-,0.480668047505961,8.77131473551024,0.536570316322461,-,40.9810889286451,1.11630119602615,38.7,24.8454,11.7417684541996,2.62504223452162,143.852314451785,130.893888425462,0.0,2.0,0.5457049364389155
0 days 00:03:03,,-,0.480668047505961,8.77131473551024,0.536570316322461,-,40.9810889286451,1.11630119602615,38.7,24.8454,11.7817274304362,2.62504223452162,143.852314451785,130.893888425462,0.0,3.0,0.6345902352693349
0 days 00:03:04,,-,1.02002994586202,18.6136851434675,1.15127251418402,-,38.324816010145,1.12866540718184,40.26,44.44704,11.8441055682867,5.57062551225934,305.270278071812,277.771086755329,0.0,4.0,0.8296605412347979
0 days 00:03:05,,-,1.02002994586202,18.6136851434675,1.15127251418402,-,38.324816010145,1.12866540718184,40.26,44.44704,11.9289028677511,5.57062551225934,305.270278071812,277.771086755329,0.0,5.0,0.9743629128947331
0 days 00:03:06,,-,0.940443263613131,17.1613734235973,1.09869093683703,-,35.2649344018726,1.16826923999213,37.73,38.18276,12.0103920605489,5.13598376044581,281.451910072431,256.098312040031,0.0,6.0,1.004990091574743
0 days 00:03:07,,-,0.94724495138569,17.2854918136075,1.08735582718045,-,37.841025119811,1.1479140908482,51.28,42.66496,12.0888558662009,5.17312939091083,283.487490621913,257.950524528516,0.0,7.0,1.0065403574370415
0 days 00:03:08,,-,1.03278382668002,18.8464201948909,1.17520383983314,-,38.8222578280384,1.13789915127829,59.4,47.9952,12.1711579073923,5.64027748096214,309.087205956725,281.244180216493,0.0,8.0,1.0663100488828257
0 days 00:03:09,,-,1.29965006287687,23.7162420233006,1.58976290172198,-,42.9849246314333,1.22322381011002,50.42,62.57122,12.2681080488151,7.09769730451691,388.953812287527,353.916286312417,0.0,9.0,1.158496253822274
0 days 00:03:10,,-,1.15003867477568,20.9861072039358,1.46631278415321,-,47.7157170481275,1.27501171596618,51.72,61.75368,12.3699320150251,6.28063402234366,344.178744424433,313.17462178342,0.0,10.0,1.2066245798988962
0 days 00:03:11,,-,1.20663134888249,22.0188202350819,1.62435988119125,-,52.4453554589049,1.34619399926551,52.17,70.22082,12.4678895576177,6.58970004091032,361.115562241886,328.585746381093,0.0,11.0,1.1997625118625284
0 days 00:03:12,,-,1.14533995835745,20.9003642036031,1.58997964497876,-,54.0588491200416,1.38821633994065,50.42,68.62162,12.565651792972,6.25497321732467,342.772532309392,311.895083304042,0.0,12.0,1.1925876715895385
0 days 00:03:13,,-,1.21395463583725,22.152456858344,1.6776043639814,-,58.3746689604474,1.38193332308861,59.4,78.7644,12.6637184286822,6.62969424824639,363.307244803902,330.579998985438,0.0,13.0,1.2148019741962526
0 days 00:03:14,,-,1.28074005757847,23.3711689339136,1.74114491257659,-,55.1915274155227,1.3594834504268,59.4,78.5862,12.7674131162,6.99442527963214,383.294505323841,348.766777963572,0.0,14.0,1.2368717458797416
0 days 00:03:15,,-,1.2807445965492,23.3712517618467,1.7411509205233,-,55.1913318162375,1.35948332338439,59.4,78.5862,12.8738840007905,6.99445006802807,383.295863727938,348.768014000649,0.0,15.0,1.2353142358925984
0 days 00:03:16,,-,1.17219695607685,21.3904554028621,1.55185230653484,-,52.3543417186427,1.32388358329187,55.04,68.68992,12.9758431737787,6.40164565305589,350.810181787463,319.208689609196,0.0,16.0,1.24976722043749
0 days 00:03:17,,-,1.30881185548394,23.88342801978,1.64849870499736,-,51.8114194304315,1.2595383347806,60.6,75.8712,13.0789689927908,7.14773202736208,391.695715099442,356.411194525079,0.0,17.0,1.3434197276086808
0 days 00:03:18,,-,1.61425823145372,29.4572669973306,1.95587020532457,-,46.4591095394085,1.21162163971945,57.69,82.66977,13.2004695676136,8.81584714643971,483.108423624896,439.589313111489,0.0,18.0,1.5246300389925205
0 days 00:03:19,,-,1.71430972033619,31.283024093726,1.9787943123073,-,44.3419465562459,1.15428051817804,53.57,83.14064,13.3388251004784,9.36225206206914,513.051413001389,466.834994388901,0.0,19.0,1.7360255163325913
0 days 00:03:20,,-,1.87045054684646,34.132309249023,2.07205651718286,-,42.1098542983641,1.10778471030753,59.4,86.6646,13.4878295444741,10.2149741563488,559.780583767912,509.354733385369,0.0,20.0,1.9121445692027979
0 days 00:03:21,,-,2.07053748620186,37.7835307701069,2.3070299299119,-,42.2789109510794,1.11421790007959,64.51,96.1199,13.6516409814715,11.3076963980483,619.661762613049,563.841728415036,0.0,21.0,2.0272210110022972
0 days 00:03:22,,-,2.09238893509467,38.1822798374941,2.32440617945554,-,43.4142039638963,1.11088628909728,60.6,98.8992,13.8246775280096,11.4270323441899,626.201372461607,569.792240682602,0.0,22.0,2.095919554303676
0 days 00:03:23,,-,2.10626641714809,38.4355185610966,2.29485836524504,-,41.3943361059009,1.08953850593711,62.5,95.5,13.9991991862689,11.502820565787,630.35456700513,573.571309411951,0.0,23.0,2.1489893056481177
0 days 00:03:24,,-,2.25957051589143,41.2330386111575,2.50082056591823,-,41.554750931487,1.10676809965881,63.94,102.39991,14.1806699280474,12.340050616785,676.23477379982,615.3185603478,0.0,24.0,2.2100774152158578
0 days 00:03:25,,-,2.28936405388279,41.7767163117298,2.51461115392808,-,41.1739407894215,1.09838850210969,63.82,102.7502,14.3697513214525,12.502760195566,685.151258717015,623.431835315579,0.0,25.0,2.2828751189295264
0 days 00:03:26,,-,2.26900709544165,41.4052389679133,2.54027062920504,-,41.4149432096461,1.11955164631629,59.4,101.871,14.5592249565096,12.3915860163134,679.058913693976,617.888297606546,0.0,26.0,2.3493766706365697
0 days 00:03:27,,-,2.4500411167754,44.7087795032007,2.72705227541175,-,40.2061701436459,1.11306388155679,64.51,107.0866,14.7553773077526,13.380255752844,733.238015255851,667.18686678048,0.0,27.0,2.3836075679227617
0 days 00:03:28,,-,2.41690315840286,44.1040722336289,2.68360510694786,-,39.7202509609192,1.11034862841639,62.5,104.3125,14.9576771190733,13.1992815009771,723.320626253544,658.162850625529,0.0,28.0,2.381881691908131
0 days 00:03:29,,-,2.30487590363619,42.0597792634341,2.52335616981515,-,38.4281990454531,1.09479046825657,64.51,97.15206,15.1539429810476,12.5874740868876,689.793579961443,627.655969500134,0.0,29.0,2.380280249889713
0 days 00:03:30,,-,2.4619839474238,44.9267143690474,2.70031715604084,-,37.8338169497277,1.09680534630067,63.15,101.5452,15.3520826748551,13.4454783841682,736.812215452415,670.439097817027,0.0,30.0,2.4233873350303505
0 days 00:03:31,,-,2.46740696867575,45.0256746108713,2.72204257914828,-,38.2279458546814,1.1031996803548,66.66,103.18968,15.5569781484563,13.4750947897082,738.435194476009,671.915876526086,0.0,31.0,2.5104433871162697
0 days 00:03:32,,-,2.63556914890812,48.0943275348198,2.91061004077492,-,37.7616273286668,1.10435730437228,66.66,108.38916,15.7690888790078,14.3934683484452,788.762065494798,717.709229695554,0.0,32.0,2.5902583281436558
0 days 00:03:33,,-,2.64235311937123,48.2181226162633,2.91312289350812,-,37.5172111831857,1.10247297083492,68.18,108.20166,15.9884714358379,14.4305172204803,790.792343682321,719.556617466568,0.0,33.0,2.617981655752893
