t,Marker,P,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,CHO,Fett,t_trial_s,V'O2_filtered
0 days 00:03:01,,-,0.62832129997498,11.3007428053054,0.786303106599842,-,36.8183443740029,1.25143474625347,29.85,27.1038,12.1968596045682,3.38203884365202,188.041359707052,171.102320116767,0.0,41.6307348215977,0.0,1.0,0.6284762998716177
0 days 00:03:02,,-,0.305575382458159,5.49596011615395,0.388536407487971,-,45.1607059737201,1.27149119265578,36.8,18.6944,12.2356780318949,1.64480786053007,91.4513170454716,83.2132491947056,0.0,20.24653265078,0.0,2.0,0.5487273674470955
0 days 00:03:03,,-,0.792335945073515,14.250646494128,0.991272755065027,-,38.9278060547136,1.25107634107532,38.7,35.991,12.2813139056277,4.26487363004734,237.126973830632,215.766230620206,0.0,52.4978663309504,0.0,3.0,0.6339479629553187
0 days 00:03:04,,-,0.792335945073515,14.250646494128,0.991272755065027,-,38.9278060547136,1.25107634107532,38.7,35.991,12.3471825094696,4.26487363004734,237.126973830632,215.766230620206,0.0,52.4978663309504,0.0,4.0,0.862422540117812
0 days 00:03:05,,-,1.16465455137074,20.9470243052291,1.55141530285572,-,44.0534233430972,1.33208194741504,37.26,56.2626,12.4285269395273,6.26893745656688,348.552922585119,317.154767603805,0.0,77.1666101225802,0.0,5.0,1.0624136320667805
0 days 00:03:06,,-,1.05216077747824,18.9237549906159,1.45071284710853,-,46.4841885830622,1.37879388603091,41.66,54.44962,12.5206712702209,5.66342191382056,314.886258408423,286.520845576232,0.0,69.7131011134384,0.0,6.0,1.1061641018647335
0 days 00:03:07,,-,1.05216077747824,18.9237549906159,1.45071284710853,-,46.4841885830622,1.37879388603091,41.66,54.44962,12.6081396753343,5.66342191382056,314.886258408423,286.520845576232,0.0,69.7131011134384,0.0,7.0,1.0224581658804013
0 days 00:03:08,,-,0.835829782434508,15.0329097560163,1.17805453634462,-,49.6492717442162,1.40944312000144,38.46,46.61352,12.6866160482802,4.49898609355959,250.143626801913,227.610324531305,0.0,55.3796410051837,0.0,8.0,0.9256938566514127
0 days 00:03:09,,-,0.92242995846152,16.5904668788043,1.31605995526353,-,48.6084819651599,1.42673158345651,39.47,50.08743,12.7597000191919,4.96512524752767,276.060963762538,251.192990026382,0.0,61.1175158215042,0.0,9.0,0.880825923594255
0 days 00:03:10,,-,0.92242995846152,16.5904668788043,1.31605995526353,-,48.6084819651599,1.42673158345651,39.47,50.08743,12.8363836202371,4.96512524752767,276.060963762538,251.192990026382,0.0,61.1175158215042,0.0,10.0,0.8657332322592116
