t,Marker,P,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,CHO,Fett,t_trial_s,V'O2_filtered
0 days 00:03:00,,-,0.605810474686021,10.0299747464573,0.753121738419877,-,45.7182586919689,1.24316394299752,12.42,29.34846,18.3114606946,3.00172871622581,181.304414460039,164.972248710883,0.0,40.1392332629887,0.0,1.0,0.6055653293791231
0 days 00:03:01,,-,0.605810474686021,10.0299747464573,0.753121738419877,-,45.7182586919689,1.24316394299752,12.42,29.34846,18.36182303195,3.00172871622581,181.304414460039,164.972248710883,0.0,40.1392332629887,0.0,2.0,0.5997661335350801
0 days 00:03:02,,-,0.521032826385777,8.62637129777776,0.655396887682801,-,36.9961910724752,1.25788022268973,23.71,22.42966,18.4086614945059,2.58166417123948,155.932515942864,141.885887769765,0.0,34.5221138125949,0.0,3.0,0.5490389873467091
0 days 00:03:03,,-,0.521032826385777,8.62637129777776,0.655396887682801,-,36.9961910724752,1.25788022268973,23.71,22.42966,18.4519760822679,2.58166417123948,155.932515942864,141.885887769765,0.0,34.5221138125949,0.0,4.0,0.44790332726063015
0 days 00:03:04,,-,0.26974711830395,4.4660118924495,0.341490575361241,-,42.1567432174993,1.26596561071118,27.14,14.98128,18.4848457073472,1.33656928192234,80.7287846281092,73.4566181163293,0.0,17.8726564759925,0.0,5.0,0.33932209519120504
0 days 00:03:05,,-,0.26974711830395,4.4660118924495,0.341490575361241,-,42.1567432174993,1.26596561071118,27.14,14.98128,18.5072703697439,1.33656928192234,80.7287846281092,73.4566181163293,0.0,17.8726564759925,0.0,6.0,0.28555072052759234
0 days 00:03:06,,-,0.416499185214285,6.89568187440869,0.496403416083333,-,31.2122339286491,1.19184726814757,24.39,16.24374,18.5357949407831,2.06371070950916,124.648126854353,113.419642020324,0.0,27.5960199562833,0.0,7.0,0.3313997660682083
0 days 00:03:07,,-,0.416499185214285,6.89568187440869,0.496403416083333,-,31.2122339286491,1.19184726814757,24.39,16.24374,18.5704194204648,2.06371070950916,124.648126854353,113.419642020324,0.0,27.5960199562833,0.0,8.0,0.48901683984715605
0 days 00:03:08,,-,0.811412558771995,13.4339827611257,0.92666993992919,-,28.4816888155831,1.14204535031061,36.8,28.0048,18.6214589023414,4.02046593802212,242.836142656536,220.96110920209,0.0,53.7618270564695,0.0,9.0,0.7333211795310652
0 days 00:03:09,,-,0.811412558771995,13.4339827611257,0.92666993992919,-,28.4816888155831,1.14204535031061,36.8,28.0048,18.6889133864126,4.02046593802212,242.836142656536,220.96110920209,0.0,53.7618270564695,0.0,10.0,0.9973080766646426
0 days 00:03:10,,-,1.420653318308,23.5207503031125,1.60784378633784,-,27.8086141712971,1.13176365100304,36.58,44.37154,18.7816916226648,7.03919136356424,425.16715835928,386.867481420351,0.0,94.1283409781877,0.0,11.0,1.1984800878494684
0 days 00:03:11,,-,1.25400320945252,20.7616425406046,1.43797667732844,-,29.413656776926,1.14670892904352,33.14,41.29244,18.8928666187857,6.21345718065347,375.29281371147,341.485890387197,0.0,83.0865913350845,0.0,12.0,1.3013743008152734
0 days 00:03:12,,-,1.25400320945252,20.7616425406046,1.43797667732844,-,29.413656776926,1.14670892904352,33.14,41.29244,18.9971146225945,6.21345718065347,375.29281371147,341.485890387197,0.0,83.0865913350845,0.0,13.0,1.3387888284570828
0 days 00:03:13,,-,1.3447293771623,22.2637314099718,1.56840270632318,-,31.2736976779265,1.16633334034309,33.14,46.46228,19.1051337578508,6.66299602870444,402.444960133748,366.192131908954,0.0,89.0978423136142,0.0,14.0,1.3476240679741418
0 days 00:03:14,,-,1.3447293771623,22.2637314099718,1.56840270632318,-,31.2736976779265,1.16633334034309,33.14,46.46228,19.2169240245546,6.66299602870444,402.444960133748,366.192131908954,0.0,89.0978423136142,0.0,15.0,1.3159639560902554
0 days 00:03:15,,-,1.3447293771623,22.2637314099718,1.56840270632318,-,31.2736976779265,1.16633334034309,33.14,46.46228,19.3287142912584,6.66299602870444,402.444960133748,366.192131908954,0.0,89.0978423136142,0.0,16.0,1.2366281792025038
