t,Marker,P,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,CHO,Fett,t_trial_s,V'O2_filtered
0 days 00:03:01,,-,0.2550239933440289,3.35557885978985,0.2660822531224419,-,34.8083326733298,1.04336164465708,17.44,11.84176,18.2932502348673,1.0042435477267,76.3225096272289,69.4472667858686,0.0,16.8971452033743,0.0,1.0,0.25507218477242827
0 days 00:03:02,,-,0.2550239933440289,3.35557885978985,0.2660822531224419,-,34.8083326733298,1.04336164465708,17.44,11.84176,18.3144509319859,1.0042435477267,76.3225096272289,69.4472667858686,0.0,16.8971452033743,0.0,2.0,0.8096845187979129
0 days 00:03:03,,-,1.72163055070148,22.653033561861495,1.57420781580348,-,23.6186561532799,0.9143702841251689,30.3,45.8136,18.3954532370261,6.6696590350286,506.894086662174,351.39619459461,109.084109725093,85.4978575655986,11.7421000780509,3.0,1.3252431697403608
0 days 00:03:04,,-,1.72163055070148,22.653033561861495,1.57420781580348,-,23.6186561532799,0.9143702841251689,30.3,45.8136,18.5362571499878,6.6696590350286,506.894086662174,351.39619459461,109.084109725093,85.4978575655986,11.7421000780509,4.0,1.6893384633052604
0 days 00:03:05,,-,1.72163055070148,22.653033561861495,1.57420781580348,-,23.6186561532799,0.9143702841251689,30.3,45.8136,18.6770610629496,6.6696590350286,506.894086662174,351.39619459461,109.084109725093,85.4978575655986,11.7421000780509,5.0,1.814015988180572
0 days 00:03:06,,-,1.70361016620666,22.415923239561305,1.5952332160284,-,26.448509696516,0.936383949610035,24.29,49.18725,18.8175015398932,6.6352282543731,504.277347332356,385.542592321833,72.8067878177245,93.8059835332926,7.8371138662782,6.0,1.7512904737871695
0 days 00:03:07,,-,1.70361016620666,22.415923239561305,1.5952332160284,-,26.448509696516,0.936383949610035,24.29,49.18725,18.9575785808189,6.6352282543731,504.277347332356,385.542592321833,72.8067878177245,93.8059835332926,7.8371138662782,7.0,1.6435312500273116
0 days 00:03:08,,-,1.58922793813868,20.9108939228774,1.51049834765119,-,27.7928791333303,0.950460479206211,28.57,49.02612,19.0931759357967,6.21083695405016,472.023608507812,382.219601614324,46.9596930636206,92.9974699791542,5.0548647000668,8.0,1.5937603213194445
0 days 00:03:09,,-,1.58922793813868,20.9108939228774,1.51049834765119,-,27.7928791333303,0.950460479206211,28.57,49.02612,19.2242936048266,6.21083695405016,472.023608507812,382.219601614324,46.9596930636206,92.9974699791542,5.0548647000668,9.0,1.6149009855327012
0 days 00:03:10,,-,1.70194694101433,22.394038697557,1.69980872365455,-,30.2054069731232,0.998743663913218,24.48,55.5696,19.360595707720705,6.70199384644234,509.351532329618,463.468404357424,0.0,112.766035123461,0.0,10.0,1.6676239048180204
0 days 00:03:11,,-,1.70194694101433,22.394038697557,1.69980872365455,-,30.2054069731232,0.998743663913218,24.48,55.5696,19.502082244479,6.70199384644234,509.351532329618,463.468404357424,0.0,112.766035123461,0.0,11.0,1.7107590775135992
0 days 00:03:12,,-,1.69852678991158,22.3490367093629,1.79137217084117,-,32.5143061198787,1.05466229998905,25.31,59.52912,19.6434266189514,6.68852584042395,508.32796387222106,462.537040437636,0.0,112.539425897235,0.0,12.0,1.7219927761820182
0 days 00:03:13,,-,1.69852678991158,22.3490367093629,1.79137217084117,-,32.5143061198787,1.05466229998905,25.31,59.52912,19.7846288311382,6.68852584042395,508.32796387222106,462.537040437636,0.0,112.539425897235,0.0,13.0,1.6967876670945412
0 days 00:03:14,,-,1.69852998440509,22.3490787421723,1.79137555283756,-,32.5142449689182,1.05466230757474,25.31,59.52912,19.9258311761075,6.6885384198266,508.328919906822,462.537910351248,0.0,112.539637555048,0.0,14.0,1.6478317139555536
