t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,V'O2_filtered
0 days 00:03:36,,-,2.86589600534685,52.297372360344,3.23920927172462,-,38.7739889349374,1.13026057668572,66.66,119.988,20.5479942110583,15.6513379510398,857.693319716982,780.431056129636,0.0,2.865919219621839
0 days 00:03:37,,-,2.80510325812434,51.1880156592032,3.1180688490283,-,39.44217015169,1.11157007856931,69.76,119.91744,20.783715439027,15.3193343368206,839.499521657768,763.876181901342,0.0,2.787074008966964
0 days 00:03:38,,-,2.70623077838422,49.3837733281793,3.09350500590965,-,40.0583131586159,1.143104657082,69.76,117.68512,21.0128000088663,14.7793682698095,809.9093811855619,736.9515643849459,0.0,2.744056920897271
0 days 00:03:39,,-,2.77481886380637,50.6353807263936,3.13650756798875,-,39.2414227178175,1.13034678007278,68.96,118.05952,21.2406257750478,15.153944075196,830.436135320743,755.629238607614,0.0,2.7430151886743483
0 days 00:03:40,,-,2.7420970436099,50.0382672191587,3.0671288091996294,-,38.3254816764796,1.11853401262628,67.41,114.05772,21.4699423613984,14.9752424526275,820.643286403986,746.718543785899,0.0,2.7580030086405802
0 days 00:03:41,,-,2.76286291192031,50.4172064219035,3.11322101800224,-,38.2016818658009,1.12680980463067,67.42,114.51287,21.6987619856567,15.0886497856803,826.858008255281,752.3734344402388,0.0,2.7580852225375874
0 days 00:03:42,,-,2.75124880165978,50.2052701032806,3.08765875332163,-,39.2246676981361,1.12227536508472,70.58,117.30396,21.9279620126526,15.0252223743754,823.382186115772,749.2107194220649,0.0,2.73826079572751
0 days 00:03:43,,-,2.71812569861271,49.6008339162903,3.06817500789223,-,39.4949284555865,1.1287833412039,70.58,116.73932,22.1553024889122,14.8443292509649,813.469242952878,740.190748618838,0.0,2.7235707214056593
0 days 00:03:44,,-,2.71762972923102,49.5917833801281,3.01333160907406,-,38.5794131085204,1.10880874486412,71.42,114.34342,22.3812455520055,14.8416206445146,813.3208113193979,740.0556879231132,0.0,2.740409119513349
0 days 00:03:45,,-,2.79407335653276,50.9867400827146,3.1211325333454,-,37.5256003049649,1.11705461349036,69.76,114.12736,22.610345461777,15.2590974276465,836.1985390350259,760.872556601588,0.0,2.784163015065876
0 days 00:03:46,,-,2.83628677381187,51.757057916275,3.14848629858588,-,37.4759777401304,1.11007332814743,68.18,115.36056,22.8443774801516,15.4896349135395,848.831993261967,772.367970869418,0.0,2.8201209239660625
0 days 00:03:47,,-,2.82187578590679,51.4940836844305,3.19696342120684,-,39.4874680723032,1.13292138412801,67.41,120.39426,23.0795651366224,15.4109330899249,844.519133327884,768.443619640466,0.0,2.817339602212051
0 days 00:03:48,,-,2.74246934742062,50.0450610843178,3.09945068096747,-,39.807371084267,1.13016784814117,67.41,118.136025,23.3108531701297,14.9772756920581,820.754707924783,746.819928293801,0.0,2.7760891275926705
0 days 00:03:49,,-,2.74612180284884,50.1117117308183,3.06551299999102,-,39.2297311387429,1.11630627483851,65.93,116.49831,23.5389924072644,14.99722261761,821.8477994450299,747.814552537668,0.0,2.7220518517334686
0 days 00:03:50,,-,2.68757430570592,49.0433267464585,3.05868918570488,-,39.5446405981637,1.13808543980014,65.93,115.04785,23.7648498725206,14.6774808467078,804.3259503995852,731.871097177198,0.0,2.6815569714376486
0 days 00:03:51,,-,2.65135896856315,48.3824629299845,2.97932106570532,-,39.6371903035644,1.12369584844255,65.93,113.86111,23.98676841791,14.4797002993415,793.487576403912,722.009059698624,0.0,2.6630292503776305
0 days 00:03:52,,-,2.62225625937274,47.8513915943931,2.96988611945364,-,40.2055442229049,1.13256898857172,67.41,114.39477,24.2059719479423,14.3207635005253,784.777839828785,714.083908881103,0.0,2.654358743134386
