t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,t_trial_s,V'O2_filtered
0 days 00:03:01,,-,0.821230799712751,10.6377046594916,0.938459295922396,-,36.9260626983389,1.14274732054698,36.58,35.59234,17.9051843540968,3.18360757213307,245.774504568673,223.634779193057,0.0,1.0,0.8210223736800815
0 days 00:03:02,,-,0.821230799712751,10.6377046594916,0.938459295922396,-,36.9260626983389,1.14274732054698,36.58,35.59234,17.9734550498104,3.18360757213307,245.774504568673,223.634779193057,0.0,2.0,0.8799429727697334
0 days 00:03:03,,-,0.765543199765185,9.91636269125887,0.8928607886810819,-,43.6653085159052,1.16631012979405,38.96,39.03792,18.0394110301038,2.96772737751665,229.108553544286,208.470121313176,0.0,3.0,1.0930075791980627
0 days 00:03:04,,-,1.73270425228786,22.444355599583705,1.98092416968371,-,41.1590090494866,1.14325579051826,52.17,78.82887,18.1432533918831,6.71705247754989,518.556451266851,471.844130788572,0.0,4.0,1.3642048287557318
0 days 00:03:05,,-,1.59840097062793,20.7046757853359,1.90051536490947,-,45.7216188822071,1.18901039215639,49.18,80.1634,18.281714389171,6.19640840939702,478.36272920545,435.271117758097,0.0,5.0,1.4765807371252633
0 days 00:03:06,,-,1.17891355988651,15.2709010347993,1.43416117235991,-,48.4362568579644,1.21651088015136,43.79,63.40792,18.3971564763892,4.57021112391039,352.820298765882,321.03773232219,0.0,6.0,1.3973088577375887
0 days 00:03:07,,-,1.17891355988651,15.2709010347993,1.43416117235991,-,48.4362568579644,1.21651088015136,43.79,63.40792,18.4951621149353,4.57021112391039,352.820298765882,321.03773232219,0.0,7.0,1.3057934887509786
0 days 00:03:08,,-,1.50241127401093,19.4612859327841,1.88444542665852,-,43.9711290395438,1.25428067484324,34.88,71.08544,18.6066142864248,5.8242919165627,449.63533595864106,409.131529940325,0.0,8.0,1.3366017288130538
0 days 00:03:09,,-,1.50241127401093,19.4612859327841,1.88444542665852,-,43.9711290395438,1.25428067484324,34.88,71.08544,18.7315129908578,5.8242919165627,449.63533595864106,409.131529940325,0.0,9.0,1.4283022308081432
0 days 00:03:10,,-,1.27695221951535,16.5408318590071,1.63611259821787,-,46.3195561243856,1.28126375694686,40.54,64.98562,18.8470402454433,4.95027068726984,382.16089705723107,347.735286780873,0.0,10.0,1.4467898391450456
0 days 00:03:11,,-,1.47820208234456,19.1476953671575,1.89365951584631,-,48.1779188722588,1.28105591141017,42.85,77.3871,18.9615612187506,5.73044184916234,442.390110755333,402.53896517699,0.0,11.0,1.3660795840437854
0 days 00:03:12,,-,1.29662097478331,16.7956084816491,1.6530730974576,-,49.8721378549401,1.27490849647397,44.11,71.0171,19.0768997451784,5.02651916483231,388.047279525054,353.091415341676,0.0,12.0,1.291576984317737
0 days 00:03:13,,-,1.29662097478331,16.7956084816491,1.6530730974576,-,49.8721378549401,1.27490849647397,44.11,71.0171,19.1846906561576,5.02651916483231,388.047279525054,353.091415341676,0.0,13.0,1.337753809617894
0 days 00:03:14,,-,1.38104392192331,17.8891699730999,1.7703002261517,-,49.6274585565322,1.28185657099615,38.7,74.1105,19.2959906983929,5.35379565503546,413.313024568737,376.081185268822,0.0,14.0,1.4997258779698115
0 days 00:03:15,,-,1.81344200919966,23.4901814663168,2.18377547498728,-,45.5934403088469,1.20421577525441,40.81,88.5577,19.4287729668131,7.03004285047714,542.719308056835,493.83036224242,0.0,15.0,1.6545420259044985
0 days 00:03:16,,-,1.81344200919966,23.4901814663168,2.18377547498728,-,45.5934403088469,1.20421577525441,40.81,88.5577,19.5795283301622,7.03004285047714,542.719308056835,493.83036224242,0.0,16.0,1.7030126406424115
0 days 00:03:17,,-,1.4227798604284,18.4297909381917,1.62407627448636,-,46.8797189608213,1.14148106791261,38.96,72.30976,19.714045398080305,5.51559042686007,425.803580953598,387.446574140337,0.0,17.0,1.683100624242885
0 days 00:03:18,,-,1.80798626571802,23.419511213964,1.90232960237474,-,41.4197560125047,1.05218144542666,40.81,80.76299,19.8483356921102,7.00889295416806,541.086536061774,492.344672727029,0.0,18.0,1.7065853307729193
0 days 00:03:19,,-,1.80798203683012,23.4194564356233,1.90232517104007,-,41.4198528937245,1.0521814555057,40.81,80.76299,19.9986373319046,7.00887656033632,541.085270457964,492.343521130654,0.0,19.0,1.8171896795696372
