t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,t_trial_s,V'O2_filtered
0 days 00:03:01,,-,0.9023343664536488,14.8410257640403,1.03007398864747,-,42.3133612322204,1.14156572878396,38.96,43.36248,14.8740575681851,4.44155985835377,270.046839387909,245.720626735812,0.0,1.0,0.9023348947501629
0 days 00:03:02,,-,0.892001046880178,14.6710698500029,0.999680166485439,-,42.0817443334709,1.12071636012298,51.28,44.3572,14.9486410635037,4.3906961662155,266.954326905903,242.906692282851,0.0,2.0,0.8864386786550114
0 days 00:03:03,,-,0.857023390815091,14.0957794541956,0.943497955922009,-,40.0420809604299,1.1009010559498,50.84,41.07872,15.021341159033,4.21852567277795,256.486360904899,233.381695907237,0.0,3.0,0.8827337115027015
0 days 00:03:04,,-,0.941748974549488,15.4892923445639,1.01051038256807,-,37.4885993551403,1.07301458231104,53.09,42.36582,15.0961090810694,4.63557035785325,281.842677757478,256.453878802803,0.0,4.0,0.9027135230684451
0 days 00:03:05,,-,0.941748974549488,15.4892923445639,1.01051038256807,-,37.4885993551403,1.07301458231104,53.09,42.36582,15.1743987137798,4.63557035785325,281.842677757478,256.453878802803,0.0,5.0,0.955283924384947
0 days 00:03:06,,-,1.01986021106872,16.7740166294197,1.07589985572521,-,35.0468128985489,1.05494835865571,49.99,42.39152,15.2559351246567,5.0200572459829,305.21948055576,277.724865153516,0.0,6.0,1.0367916397694164
0 days 00:03:07,,-,1.12195609870449,18.4532253076396,1.19224391976107,-,34.4255894188719,1.06264756806237,35.5,43.3455,15.3449620398734,5.52260376652409,335.774309004664,305.52727014847,0.0,7.0,1.1191164950019725
0 days 00:03:08,,-,1.16433557184378,19.1502561158516,1.19244157184378,-,35.1409430317481,1.02413908900464,54.05,48.1045,15.4399942299757,5.73120821927638,348.457459732004,317.067904183553,0.0,8.0,1.1604039299370608
0 days 00:03:09,,-,1.16433557184378,19.1502561158516,1.19244157184378,-,35.1409430317481,1.02413908900464,54.05,48.1045,15.5367879687901,5.73120821927638,348.457459732004,317.067904183553,0.0,9.0,1.1433653813141254
0 days 00:03:10,,-,1.11989765411649,18.419369311126495,1.11219916013525,-,33.8279304905654,0.99312571648584,57.14,45.48344,15.6317345974132,5.51247148608284,335.158266353837,304.966721516979,0.0,10.0,1.0999932744393337
0 days 00:03:11,,-,0.980202457575805,16.1217509469705,1.00439778170949,-,35.5685702790678,1.02468400680562,40.54,40.25622,15.7190275336641,4.82484991205535,293.350874652965,266.925400558687,0.0,11.0,1.0832264525918007
0 days 00:03:12,,-,1.19188358880037,19.6033485000062,1.17804704882795,-,33.6009157071359,0.988391030716055,48.78,46.53612,15.809312643275,5.86680780501814,356.701914545103,324.569686497916,0.0,12.0,1.114124934709925
0 days 00:03:13,,-,1.19188358880037,19.6033485000062,1.17804704882795,-,33.6009157071359,0.988391030716055,48.78,46.53612,15.9083965084264,5.86680780501814,356.701914545103,324.569686497916,0.0,13.0,1.1712559666598927
0 days 00:03:14,,-,1.19188358880037,19.6033485000062,1.17804704882795,-,33.6009157071359,0.988391030716055,48.78,46.53612,16.0074803735778,5.86680780501814,356.701914545103,324.569686497916,0.0,14.0,1.2284249542592311
0 days 00:03:15,,-,1.26375246336307,20.7854023579452,1.26127643358871,-,33.2726235706809,0.998040731989742,25.86,45.48774,16.1095515463584,6.22056791899592,378.210529474952,344.140774064654,0.0,15.0,1.2806752251742757
0 days 00:03:16,,-,1.35994020292304,22.3674375480764,1.33493536426516,-,33.5845428363915,0.9816132807868028,43.79,51.49704,16.2186029371293,6.69341256704077,406.959484076079,369.803864907298,0.4927192501373119,16.0,1.3316828820649067
0 days 00:03:17,,-,1.38618315431607,22.7990650380933,1.31510584570473,-,33.5660405734456,0.948724446412415,44.44,52.4392,16.3322839540018,6.76881311523015,411.543837405993,330.958910545443,43.214537966712,17.0,1.3783800879949206
0 days 00:03:18,,-,1.38618315431607,22.7990650380933,1.31510584570473,-,33.5660405734456,0.948724446412415,44.44,52.4392,16.4466016866146,6.76881311523015,411.543837405993,330.958910545443,43.214537966712,18.0,1.4166590290052061
0 days 00:03:19,,-,1.47559274159261,24.2696174604047,1.41311610293281,-,33.1097454079838,0.957659971549899,29.7,52.8066,16.5647375005897,7.22095432918935,439.034023214713,365.604270047361,33.6489533282086,19.0,1.4492405222814664
0 days 00:03:20,,-,1.47559274159261,24.2696174604047,1.41311610293281,-,33.1097454079838,0.957659971549899,29.7,52.8066,16.6866913959271,7.22095432918935,439.034023214713,365.604270047361,33.6489533282086,20.0,1.4799055081104373
0 days 00:03:21,,-,1.47559274159261,24.2696174604047,1.41311610293281,-,33.1097454079838,0.957659971549899,29.7,52.8066,16.8086452912646,7.22095432918935,439.034023214713,365.604270047361,33.6489533282086,21.0,1.5054565007844642
0 days 00:03:22,,-,1.55282649754608,25.5399094991132,1.48812804697353,-,35.0622558837319,0.958335042147464,26.9,58.0233,16.9338012099452,7.60014130404578,462.088591285983,385.797564403298,34.4280667700407,22.0,1.5221831233863121
0 days 00:03:23,,-,1.55282649754608,25.5399094991132,1.48812804697353,-,35.0622558837319,0.958335042147464,26.9,58.0233,17.0621591519691,7.60014130404578,462.088591285983,385.797564403298,34.4280667700407,23.0,1.5435981426576038
0 days 00:03:24,,-,1.61343110322402,26.5366957767108,1.47231727419195,-,31.4241617746726,0.912538050896572,28.84,54.53644,17.192286083648,7.809626921093289,474.825316802472,326.330424836665,104.99808016777,24.0,1.601561746324178
