t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,t_trial_s,V'O2_filtered
0 days 00:03:01,,-,0.397489363917562,6.66928462948929,0.4393657057978819,-,38.4597963812953,1.10535210670192,44.44,21.19788,12.2250762229179,1.99595549291811,118.958947377919,108.242952118193,0.0,1.0,0.39758857362005956
0 days 00:03:02,,-,0.368449964910654,6.18204639111836,0.406844024283642,-,53.1658620316334,1.10420426931591,51.28,26.4092,12.2569133208883,1.85013687933906,110.268158008608,100.335041714589,0.0,2.0,0.7848269594142921
0 days 00:03:03,,-,1.31404126944199,22.0476723060737,1.47528370646878,-,40.3671035556784,1.12270728536194,68.18,62.11198,12.326847891743,6.59833476753806,393.260752145268,357.835250754128,0.0,3.0,1.0976207314439286
0 days 00:03:04,,-,1.35973629464971,22.8143673598944,1.54827953415582,-,39.8491091347671,1.13866162155706,47.24,60.4672,12.4379863527868,6.82778804312629,406.936167370327,370.278764655606,0.0,4.0,1.2482285072638748
0 days 00:03:05,,-,1.35973629464971,22.8143673598944,1.54827953415582,-,39.8491091347671,1.13866162155706,47.24,60.4672,12.5510241770563,6.82778804312629,406.936167370327,370.278764655606,0.0,5.0,1.2295867589239093
0 days 00:03:06,,-,0.621979144664275,10.4358916889979,0.7275537867053768,-,46.2456020378718,1.16973984247991,42.55,34.42295,12.6333963261498,3.1232098339382,186.143306102717,169.375245945884,0.0,6.0,1.148758958927032
0 days 00:03:07,,-,1.39551481744094,23.4146781449823,1.54996768450257,-,41.7522617974393,1.11067805596279,54.05,65.45455,12.7172556483032,7.00744653358208,417.643813401492,380.021850335138,0.0,7.0,1.1015774147937283
0 days 00:03:08,,-,1.39550940822803,23.4145873863763,1.54996175517303,-,41.7524236357419,1.1106781122609,54.05,65.45455,12.8332675938527,7.00741937172767,417.642194554969,380.020377316668,0.0,8.0,1.0913991740543694
0 days 00:03:09,,-,0.645026330191382,10.8225894327413,0.726548798019762,-,39.9609733642225,1.12638626364941,25.42,29.15674,12.9180846724005,3.2389391105552,193.04077098909,175.651377148195,0.0,9.0,1.1010314110050485
0 days 00:03:10,,-,1.27558588855083,21.402447794477,1.40579696002114,-,38.6303662044913,1.10207942298439,47.61,55.60848,12.9979169999357,6.40523468565035,381.751987264761,347.363212178141,0.0,10.0,1.1406570266571092
0 days 00:03:11,,-,1.27558588855083,21.402447794477,1.40579696002114,-,38.6303662044913,1.10207942298439,47.61,55.60848,13.1039592186204,6.40523468565035,381.751987264761,347.363212178141,0.0,11.0,1.1919317522040835
0 days 00:03:12,,-,1.12733909448611,18.9150854779549,1.22551355219821,-,39.8949794431653,1.08708511768312,46.51,51.161,13.2038393987091,5.66082733848334,337.385309373607,306.993149257537,0.0,12.0,1.2004831809208183
0 days 00:03:13,,-,1.23382167763598,20.7017060006037,1.34532122283484,-,40.2262343899612,1.09036925450402,48.0,56.016,13.3019836041265,6.19551962469546,369.252969631849,335.990124260126,0.0,13.0,1.1634169046879848
0 days 00:03:14,,-,1.14293655302443,19.1767878024233,1.20545011572503,-,38.2521320928176,1.05469556690192,41.09,49.18473,13.4007761348053,5.73914851100047,342.053251255628,311.240596135332,0.0,14.0,1.159072829431293
0 days 00:03:15,,-,1.14293655302443,19.1767878024233,1.20545011572503,-,38.2521320928176,1.05469556690192,41.09,49.18473,13.4957909268208,5.73914851100047,342.053251255628,311.240596135332,0.0,15.0,1.2450448452762237
0 days 00:03:16,,-,1.38128770685509,23.1759682358237,1.46414153417596,-,40.2615977279773,1.05998303388185,42.55,61.272,13.6007130427589,6.93600643455072,413.385983499223,376.14757195257494,0.0,16.0,1.3596589565114052
0 days 00:03:17,,-,1.48350372639383,24.8910021207019,1.51530331915971,-,38.9287394244594,1.02143546537842,47.61,64.08306,13.719791202206,7.44927457247476,443.976764519496,403.98269085889893,0.0,17.0,1.3858639779215605
0 days 00:03:18,,-,1.34690465219821,22.5990713456076,1.36068983296085,-,37.0172602185523,1.0102347116703,46.51,56.04455,13.8374401927379,6.7633551562138,403.095967310342,366.7844954108,0.0,18.0,1.323830649809022
0 days 00:03:19,,-,1.34690465219821,22.5990713456076,1.36068983296085,-,37.0172602185523,1.0102347116703,46.51,56.04455,13.9494112947685,6.7633551562138,403.095967310342,366.7844954108,0.0,19.0,1.3295538926203538
0 days 00:03:20,,-,1.2004197345032,20.141270713141,1.14888194686318,-,31.9522237910174,0.957066860733217,34.68,42.96852,14.054995537272,5.9917882334697,357.110578714794,296.707186859697,28.0410361486779,20.0,1.5144052625791153
0 days 00:03:21,,-,1.95154027326551,32.7439643165353,1.88694472204101,-,33.837272489132,0.9669002212716769,43.16,71.77508,14.1854186639502,9.764025727644848,581.935933367633,501.716151723309,27.6078171093041,21.0,1.7568764616840193
0 days 00:03:22,,-,1.95154568249808,32.7440550754711,1.88694984657713,-,33.8371787000508,0.966900167134051,43.16,71.77508,14.3470677573052,9.76405266423587,581.937538788458,501.717435809573,27.6079926152827,22.0,1.832997155238715
0 days 00:03:23,,-,1.95154568249808,32.7440550754711,1.88694984657713,-,33.8371787000508,0.966900167134051,43.16,71.77508,14.5087170736353,9.76405266423587,581.937538788458,501.717435809573,27.6079926152827,23.0,1.7329260663441532
0 days 00:03:24,,-,1.05458878292849,17.6944426665854,0.962547429773782,-,29.5837586223554,0.9127229924643048,26.78,34.76044,14.6326493135981,5.20762733127526,310.374588944005,213.496432584796,68.4472864424836,24.0,1.702273187146142
0 days 00:03:25,,-,2.22097077627555,37.2646103401937,2.01155993140444,-,29.9184035691949,0.905712021469152,45.45,72.49275,14.7663866777783,10.9485643146491,652.534433153088,433.920101274261,158.738736527059,25.0,1.9115687977366458
0 days 00:03:26,,-,2.3449362623828094,39.3445681607855,2.1212355957100306,-,30.934955957518305,0.904602666494026,49.18,79.08144,14.9526789202736,11.5565388055943,688.769712813419,455.516056475212,170.036050653376,26.0,2.2221594009983914
0 days 00:03:27,,-,2.33559694355792,39.187868180502,2.15392335024695,-,33.2035029476724,0.922215348923082,50.0,84.2,15.1440324871277,11.5599994720774,688.975968535811,495.190920474514,130.81922294053,27.0,2.3793507938203855
0 days 00:03:28,,-,2.33559694355792,39.187868180502,2.15392335024695,-,33.2035029476724,0.922215348923082,50.0,84.2,15.3354147006099,11.5599994720774,688.975968535811,495.190920474514,130.81922294053,28.0,2.3334748510948216
0 days 00:03:29,,-,2.1190656609310694,35.5547929686421,2.04983969553652,-,32.4322512827674,0.96733184503394,43.47,74.50758,15.518877534483,10.603295895149,631.956435350883,545.707282181298,29.1208382034121,29.0,2.249000252711717
0 days 00:03:30,,-,2.28562388864065,38.3493941047089,2.23407531215878,-,35.569929245162,0.977446605831315,46.51,87.48531,15.7015500548136,11.4645253528351,683.285711028971,611.916684714205,9.750434776125141,30.0,2.2478906951496933
0 days 00:03:31,,-,2.30703488069636,38.7086389378583,2.34474596644298,-,37.1463824483368,1.01634612725718,47.61,92.03013,15.892345252116,11.5845588850387,690.439709548307,628.243894792637,0.0,31.0,2.2698212761060947
0 days 00:03:32,,-,2.30703488069636,38.7086389378583,2.34474596644298,-,37.1463824483368,1.01634612725718,47.61,92.03013,16.0841340603238,11.5845588850387,690.439709548307,628.243894792637,0.0,32.0,2.2097210215736367
0 days 00:03:33,,-,2.05258642154029,34.439369488931,2.12488641623707,-,37.3460523735105,1.03522384925577,48.0,83.04,16.2653464426744,10.3068698552954,614.289443375607,558.953355520018,0.0,33.0,2.102828823530386
0 days 00:03:34,,-,1.96724129155736,33.0074042207611,1.99287452771853,-,33.7268845894725,1.01303004174993,44.44,72.25944,16.4324349363826,9.878317304091661,588.747711323863,535.71245989651,0.0,34.0,2.0873742643502555
0 days 00:03:35,,-,2.24818911349545,37.7212938505947,2.31308334555895,-,36.0721255668354,1.02886511266955,51.72,87.97572,16.6076538678849,11.2890703941718,672.828595492641,612.219215544094,0.0,35.0,2.1997804816415703
0 days 00:03:36,,-,2.29396994490118,38.4894286057244,2.43615435738512,-,37.4772652061506,1.06198181140079,49.58,92.56586,16.7964536298195,11.5189545375211,686.529690436255,624.686095897675,0.0,36.0,2.299490253317901
0 days 00:03:37,,-,2.33750271120437,39.2198441477243,2.52759933310164,-,37.4657618920482,1.08132466370459,52.63,94.57611,16.9889658081992,11.7375502331855,699.557993897856,636.540790805955,0.0,37.0,2.251014881596522
0 days 00:03:38,,-,2.33750271120437,39.2198441477243,2.52759933310164,-,37.4657618920482,1.08132466370459,52.63,94.57611,17.1832874731708,11.7375502331855,699.557993897856,636.540790805955,0.0,38.0,2.12569138863104
0 days 00:03:39,,-,1.50069131361851,25.1793844566864,1.54824119580134,-,31.6419503258823,1.03168531846045,31.24,51.63972,17.3428261658561,7.5355804267824,449.12059343623093,408.663156174127,0.0,39.0,2.1274316676451774
0 days 00:03:40,,-,2.74212557943293,46.0088184468612,2.87784129168533,-,35.3655903753521,1.04949288729529,57.69,104.64966,17.5191834464008,13.7693259477392,820.6518264852539,746.726314564206,0.0,40.0,2.32222640111121
0 days 00:03:41,,-,2.58277465563343,43.3351452287488,2.75750370811105,-,38.35874716515,1.06765168308296,55.04,106.39232,17.7405186933132,12.96916025645,772.961951284419,703.332412788267,0.0,41.0,2.5460288495949492
