t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,t_trial_s,V'O2_filtered
0 days 00:03:01,,-,0.681751881086161,8.69581480977246,0.853506641331424,-,47.0162839139259,1.25193147978063,23.16,35.99064,21.8779873629956,2.6024469338465,204.031839613566,185.652354300988,0.0,1.0,0.6817213410598723
0 days 00:03:02,,-,0.681751881086161,8.69581480977246,0.853506641331424,-,47.0162839139259,1.25193147978063,23.16,35.99064,21.9346628739994,2.6024469338465,204.031839613566,185.652354300988,0.0,2.0,0.8032471306453367
0 days 00:03:03,,-,0.987116947486567,12.5907773914103,1.22761410773824,-,45.2100433627772,1.24363593479378,36.58,50.8462,22.0040312148002,3.76811497643623,295.4202141526,268.808330941921,0.0,3.0,0.9075404372468079
0 days 00:03:04,,-,0.987116947486567,12.5907773914103,1.22761410773824,-,45.2100433627772,1.24363593479378,36.58,50.8462,22.0860923853982,3.76811497643623,295.4202141526,268.808330941921,0.0,4.0,0.9720116870892389
0 days 00:03:05,,-,0.981806531780344,12.5230424971983,1.1768949213858,-,42.3848473736882,1.19870349533293,38.46,48.15192,22.1679328228143,3.74784356178301,293.830935243788,267.362216592215,0.0,5.0,0.9965650280097744
0 days 00:03:06,,-,1.02278814974537,13.0457672161399,1.16549654370989,-,39.6763885171164,1.13952879098183,40.54,47.47234,22.2512559723962,3.90428242022405,306.095741745566,278.52219145895,0.0,6.0,1.0205970564482036
0 days 00:03:07,,-,1.02278814974537,13.0457672161399,1.16549654370989,-,39.6763885171164,1.13952879098183,40.54,47.47234,22.3362825673255,3.90428242022405,306.095741745566,278.52219145895,0.0,7.0,1.0887660099321015
0 days 00:03:08,,-,1.30481170968105,16.6430065010338,1.49786515518984,-,39.2024378846996,1.14795502222768,38.46,57.69,22.4330317770491,4.98084908500209,390.498568264164,355.32188842053,0.0,8.0,1.205817928686916
0 days 00:03:09,,-,1.32047128523706,16.8427459851665,1.47030826139294,-,37.6397658591094,1.11347234720745,39.73,56.45633,22.5421545087894,5.0406262789075,395.185100266348,359.586250793385,0.0,9.0,1.3305544367037678
0 days 00:03:10,,-,1.32047128523706,16.8427459851665,1.47030826139294,-,37.6397658591094,1.11347234720745,39.73,56.45633,22.6519281477523,5.0406262789075,395.185100266348,359.586250793385,0.0,10.0,1.39582808891442
0 days 00:03:11,,-,1.32047128523706,16.8427459851665,1.47030826139294,-,37.6397658591094,1.11347234720745,39.73,56.45633,22.7617017867152,5.0406262789075,395.185100266348,359.586250793385,0.0,11.0,1.3363302076146002
0 days 00:03:12,,-,1.27892868093066,16.3128658281972,1.42039445572202,-,36.8758013665633,1.11061271586186,25.97,51.57642,22.8697486623256,4.88204597102639,382.752404128469,348.273510033523,0.0,12.0,1.1466185261838608
0 days 00:03:13,,-,0.904570442896789,11.537888302255,0.924199306628883,-,33.411615687125,1.02169965190244,32.78,35.79576,22.9605081688648,3.453010751968,270.716042954291,246.329547470148,0.0,13.0,0.9414287828486062
0 days 00:03:14,,-,0.904566394767607,11.5378366679542,0.924195186692531,-,33.4117652112918,1.02169966963007,32.78,35.79576,23.0357069014206,3.45299529907132,270.714831447191,246.328445097373,0.0,14.0,0.9069225432894453
0 days 00:03:15,,-,0.904566394767607,11.5378366679542,0.924195186692531,-,33.4117652112918,1.02169966963007,32.78,35.79576,23.1109054657115,3.45299529907132,270.714831447191,246.328445097373,0.0,15.0,1.1284312712075564
0 days 00:03:16,,-,1.76041025956083,22.4542124943984,1.68876899660616,-,29.1496256178384,0.959304223225476,24.79,55.5296,23.2212802333688,6.68346295517112,523.983495685416,439.092253930484,37.4319894853791,16.0,1.4849519152311605
0 days 00:03:17,,-,1.76041025956083,22.4542124943984,1.68876899660616,-,29.1496256178384,0.959304223225476,24.79,55.5296,23.3668312043925,6.68346295517112,523.983495685416,439.092253930484,37.4319894853791,17.0,1.7671881984937727
0 days 00:03:18,,-,1.76041025956083,22.4542124943984,1.68876899660616,-,29.1496256178384,0.959304223225476,24.79,55.5296,23.5123821754163,6.68346295517112,523.983495685416,439.092253930484,37.4319894853791,18.0,1.8863120745865638
0 days 00:03:19,,-,1.96888662892131,25.1133498586902,1.75684459029187,-,26.3060143937166,0.892303581366891,21.42,55.43496,23.6652379042466,7.3543080598633,576.577751893283,358.043187423986,165.454956062881,19.0,1.9228262821401787
0 days 00:03:20,,-,1.96888662892131,25.1133498586902,1.75684459029187,-,26.3060143937166,0.892303581366891,21.42,55.43496,23.8253983908836,7.3543080598633,576.577751893283,358.043187423986,165.454956062881,20.0,1.994361082634439
0 days 00:03:21,,-,2.20117373416864,28.0761955888857,1.89150205856383,-,26.2927905696907,0.859315204975507,25.0,62.125,23.99428355169,8.15555364684643,639.39540591276,327.048565203145,253.004957775416,21.0,2.1332441545040446
0 days 00:03:22,,-,2.2011777730481,28.0762471052054,1.89150549503415,-,26.2927423257854,0.859315189438274,25.0,62.125,24.1718935492712,8.15556857999343,639.396576671485,327.049130802852,253.005454049474,22.0,2.29068291675805
0 days 00:03:23,,-,2.49460329077855,31.8189195252366,2.11967437446676,-,25.3346895811541,0.849703991934215,25.0,67.45,24.3611030081475,9.22081029640186,722.911527237906,346.464205846124,309.194812355025,23.0,2.4138901582403163
0 days 00:03:24,,-,2.49462376365068,31.8191806588096,2.11969139044409,-,25.3344816644864,0.849703839645179,25.0,67.45,24.5619125859355,9.22088562290844,722.917432836022,346.466666067624,309.197705799387,24.0,2.498384684853906
0 days 00:03:25,,-,2.49462376365068,31.8191806588096,2.11969139044409,-,25.3344816644864,0.849703839645179,25.0,67.45,24.7627229839455,9.22088562290844,722.917432836022,346.466666067624,309.197705799387,25.0,2.5752435766174755
0 days 00:03:26,,-,2.72884269393863,34.8066670145233,2.31654967543416,-,24.5719550448766,0.848912867194484,25.75,71.4305,24.972938879514,10.0846558068452,790.637015256665,376.819282701519,340.250316600716,26.0,2.6632146738818867
0 days 00:03:27,,-,2.72884269393863,34.8066670145233,2.31654967543416,-,24.5719550448766,0.848912867194484,25.75,71.4305,25.1925602726408,10.0846558068452,790.637015256665,376.819282701519,340.250316600716,27.0,2.7481793829961276
