t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,t_trial_s,V'O2_filtered
0 days 00:03:01,,-,0.374988520788343,6.79327030413665,0.506700077098241,-,45.6499307339121,1.35124156876322,25.1,20.4565,13.452245266685,2.03306140488674,112.224989549748,102.115599020111,0.0,1.0,0.37484719489051027
0 days 00:03:02,,-,0.133785540594096,2.42365109771913,0.176558092001962,-,38.3419611508179,1.31970982228668,45.8,11.221,13.4733930117182,0.72534012119077,40.0387746897305,36.4320235437462,0.0,2.0,0.20857033001918424
0 days 00:03:03,,-,0.133785540594096,2.42365109771913,0.176558092001962,-,38.3419611508179,1.31970982228668,45.8,11.221,13.4845148935765,0.72534012119077,40.0387746897305,36.4320235437462,0.0,3.0,0.0635451677072875
0 days 00:03:04,,-,0.133785540594096,2.42365109771913,0.176558092001962,-,38.3419611508179,1.31970982228668,45.8,11.221,13.4956367754348,0.72534012119077,40.0387746897305,36.4320235437462,0.0,4.0,0.03169519229322377
0 days 00:03:05,,-,0.133785540594096,2.42365109771913,0.176558092001962,-,38.3419611508179,1.31970982228668,45.8,11.221,13.506758657293,0.72534012119077,40.0387746897305,36.4320235437462,0.0,5.0,0.2166361077536577
0 days 00:03:06,,-,0.275548959490424,4.99182897627579,0.384342071789707,-,33.2287954087455,1.39482316500297,16.12,11.30012,13.5237730892347,1.49393361033812,82.4651352906642,75.0365557819699,0.0,6.0,0.5731613236608021
0 days 00:03:07,,-,1.18005905961925,21.3778815148414,1.31027028157994,-,31.5823175935152,1.11034297046345,60.6,45.3288,13.5842770134577,6.39788259265939,353.163119114798,321.349670914711,0.0,7.0,0.8744244634550581
0 days 00:03:08,,-,1.18006703418332,21.3780259815819,1.31027934282465,-,31.5821041690165,1.1103431456599,60.6,45.3288,13.6823782113499,6.39792582805871,353.165505708841,321.351842520886,0.0,8.0,0.9407053029282856
0 days 00:03:09,,-,0.570193567159364,10.3295936079595,0.678034735069094,-,29.8734166449115,1.18913080420563,25.31,20.39986,13.7551296893603,3.09139739069697,170.645135966473,155.27317355071,0.0,9.0,0.8601139398833505
0 days 00:03:10,,-,0.570193567159364,10.3295936079595,0.678034735069094,-,29.8734166449115,1.18913080420563,25.31,20.39986,13.8025311160177,3.09139739069697,170.645135966473,155.27317355071,0.0,10.0,0.8602674111527396
