t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,V'O2_filtered
0 days 00:03:15,,-,1.55305950427359,20.9307210818543,1.49492537660536,-,26.3480181457307,0.96256799722853,16.52,43.29892,21.8300273958165,6.23489605433268,462.629287231485,392.485890904614,28.2741545392585,1.6073294044115298
0 days 00:03:16,,-,1.55305950427359,20.9307210818543,1.49492537660536,-,26.3480181457307,0.96256799722853,16.52,43.29892,21.9585355311586,6.23489605433268,462.629287231485,392.485890904614,28.2741545392585,1.5592783217406445
0 days 00:03:17,,-,1.55305950427359,20.9307210818543,1.49492537660536,-,26.3480181457307,0.96256799722853,16.52,43.29892,22.0870436665007,6.23489605433268,462.629287231485,392.485890904614,28.2741545392585,1.5451581191463561
0 days 00:03:18,,-,1.55305950427359,20.9307210818543,1.49492537660536,-,26.3480181457307,0.96256799722853,16.52,43.29892,22.2155518018428,6.23489605433268,462.629287231485,392.485890904614,28.2741545392585,1.5596784810314213
0 days 00:03:19,,-,1.6194908352481,21.8260220383841,1.48542232297273,-,25.4531110042899,0.917215640028719,17.09,43.68204,22.3460769553268,6.43061749128532,477.151817853371,335.196367074293,98.295273453457,1.585509378777228
0 days 00:03:20,,-,1.6195074070798,21.8262453784339,1.48543679301114,-,25.45285055184,0.917215189333153,17.09,43.68204,22.478619797819,6.43068258882191,477.156648090586,335.199060884805,98.2969631168352,1.6233614965542855
0 days 00:03:21,,-,1.6195074070798,21.8262453784339,1.48543679301114,-,25.45285055184,0.917215189333153,17.09,43.68204,22.6111633111775,6.43068258882191,477.156648090586,335.199060884805,98.2969631168352,1.686495974333879
0 days 00:03:22,,-,1.83309201341762,24.7047441161404,1.58581862501373,-,22.683885858231,0.865105850337064,15.95,43.87845,22.7514956741614,7.18647392713107,533.236365393126,283.065149476716,200.752521708282,1.7684882632015608
0 days 00:03:23,,-,1.83309201341762,24.7047441161404,1.58581862501373,-,22.683885858231,0.865105850337064,15.95,43.87845,22.8996168867706,7.18647392713107,533.236365393126,283.065149476716,200.752521708282,1.8356216890430905
0 days 00:03:24,,-,1.83308893305058,24.7047026017598,1.58581612468727,-,22.6839239767822,0.865105940085624,15.95,43.87845,23.047737976565,7.18646200980059,533.235481127204,283.06483973663,200.752030226676,1.8578181655010102
0 days 00:03:25,,-,1.83308893305058,24.7047026017598,1.58581612468727,-,22.6839239767822,0.865105940085624,15.95,43.87845,23.1958589435448,7.18646200980059,533.235481127204,283.06483973663,200.752030226676,1.840977183328395
0 days 00:03:26,,-,1.87917657519117,25.3258298543285,1.49407707203807,-,20.8518563488446,0.795070081099788,16.66,41.58336,23.3445313303394,7.23996905382025,537.205703793462,157.44271724926,329.101889418309,1.8298346730000454
0 days 00:03:27,,-,1.87917657519117,25.3258298543285,1.49407707203807,-,20.8518563488446,0.795070081099788,16.66,41.58336,23.4937551369487,7.23996905382025,537.205703793462,157.44271724926,329.101889418309,1.8782599268088866
0 days 00:03:28,,-,1.87917993496344,25.3258751342781,1.49407963776579,-,20.8518190679608,0.79507002494408,16.66,41.58336,23.6429790759054,7.23998189616069,537.206656695123,157.442892308364,329.102576684093,2.0011185657394632
0 days 00:03:29,,-,2.270309506685,30.5971631628707,1.73775006476268,-,20.8809415017692,0.765424299922905,19.1,50.1566,23.8070625342414,8.68186311757759,644.194243324257,122.330361594667,460.658153676967,2.1509205447380766
0 days 00:03:30,,-,2.27030559170034,30.5971104002741,1.73774716535872,-,20.8809775095058,0.765424342745524,19.1,50.1566,23.9860052262904,8.68184824027691,644.193139428547,122.330248699382,460.657268221397,2.259888212937367
0 days 00:03:31,,-,2.27030559170034,30.5971104002741,1.73774716535872,-,20.8809775095058,0.765424342745524,19.1,50.1566,24.1649477650206,8.68184824027691,644.193139428547,122.330248699382,460.657268221397,2.307817210765069
0 days 00:03:32,,-,2.27030559170034,30.5971104002741,1.73774716535872,-,20.8809775095058,0.765424342745524,19.1,50.1566,24.3438903037507,8.68184824027691,644.193139428547,122.330248699382,460.657268221397,2.3315020326193276
0 days 00:03:33,,-,2.46295636259064,33.1934819756151,1.84514322498665,-,19.3390393445296,0.74915790349036,17.39,50.13537,24.5300261182956,9.37984804979458,695.984725294758,92.3035217916843,537.28187033272,2.374792183961193
0 days 00:03:34,,-,2.46295636259064,33.1934819756151,1.84514322498665,-,19.3390393445296,0.74915790349036,17.39,50.13537,24.7233552086553,9.37984804979458,695.984725294758,92.3035217916843,537.28187033272,2.4527810989499663
0 days 00:03:35,,-,2.46295636259064,33.1934819756151,1.84514322498665,-,19.3390393445296,0.74915790349036,17.39,50.13537,24.9166842990149,9.37984804979458,695.984725294758,92.3035217916843,537.28187033272,2.553786830442864
0 days 00:03:36,,-,2.70413244777345,36.443833527944,2.09065543339804,-,20.6370808670816,0.773133518337632,19.35,58.5918,25.1201245460031,10.360984542045,768.785053019736,166.731517243749,529.152288289973,2.6478309217089566
0 days 00:03:37,,-,2.70413244777345,36.443833527944,2.09065543339804,-,20.6370808670816,0.773133518337632,19.35,58.5918,25.3336759496197,10.360984542045,768.785053019736,166.731517243749,529.152288289973,2.699693812338252
0 days 00:03:38,,-,2.70412834827174,36.4437782785949,2.09065240008663,-,20.6371121532254,0.773133568686859,19.35,58.5918,25.5472271927187,10.3609689662144,768.783897293111,166.731401795438,529.151358530945,2.698403018519354
0 days 00:03:39,,-,2.65260068294124,35.7493353496124,2.05334954240129,-,21.0123032684278,0.774089200687572,19.73,58.57837,25.7587688911111,10.1659882901951,754.316331132476,166.110963752873,516.693375048053,2.672773358655145
0 days 00:03:40,,-,2.65260478685097,35.7493906583688,2.05335259723211,-,21.0122707597796,0.774089154709603,19.73,58.57837,25.9683013661866,10.1660039004163,754.317489410891,166.111097739793,516.694288701426,2.6641388761941496
0 days 00:03:41,,-,2.71114449658807,36.5383355335319,2.18309935251497,-,22.9751678962113,0.805231648575855,23.07,65.61108,26.1809868653255,10.4719421076718,777.018104389247,254.933190104965,448.994627571865,2.687729500374965
0 days 00:03:42,,-,2.71114449658807,36.5383355335319,2.18309935251497,-,22.9751678962113,0.805231648575855,23.07,65.61108,26.3968252276558,10.4719421076718,777.018104389247,254.933190104965,448.994627571865,2.7315091537215714
0 days 00:03:43,,-,2.83355871704681,38.1881228712508,2.25871192133927,-,23.4995659696082,0.79712903344856,29.7,70.8642,26.6173077459764,10.9225879719562,810.456027519148,243.287766226937,490.777785127603,2.785920844820181
0 days 00:03:44,,-,2.83358393966971,38.1884627987831,2.25873192148656,-,23.4993567925719,0.797128996203249,29.7,70.8642,26.842435421207,10.9226850962346,810.46323414061,243.289825384001,490.782252610265,2.8527962557950217
0 days 00:03:45,,-,2.83358393966971,38.1884627987831,2.25873192148656,-,23.4993567925719,0.797128996203249,29.7,70.8642,27.0675640973571,10.9226850962346,810.46323414061,243.289825384001,490.782252610265,2.915562621577044
0 days 00:03:46,,-,2.97675277147725,40.1179618797473,2.43567720982978,-,23.1634956925837,0.818232952755779,24.0,72.408,27.2990057613271,11.5352661245663,855.916746442817,318.942483387473,456.723389738534,2.9252811257551605
0 days 00:03:47,,-,2.97675277147725,40.1179618797473,2.43567720982978,-,23.1634956925837,0.818232952755779,24.0,72.408,27.5367604131167,11.5352661245663,855.916746442817,318.942483387473,456.723389738534,2.849672503673532
0 days 00:03:48,,-,2.5835829629622,34.8191773984125,2.1742548869268,-,23.9202692098354,0.841565731813741,25.0,65.4,27.7594140455709,10.0699381027917,747.189407227145,337.615919250126,339.922158161928,2.7275853017624483
0 days 00:03:49,,-,2.5835829629622,34.8191773984125,2.1742548869268,-,23.9202692098354,0.841565731813741,25.0,65.4,27.9669666586895,10.0699381027917,747.189407227145,337.615919250126,339.922158161928,2.641161856120134
0 days 00:03:50,,-,2.77721404072027,37.4287606566074,2.34108677110144,-,24.2861367582988,0.842962312870303,36.36,72.68364,28.1823355903901,10.8283948924134,803.466901017075,366.83100911846,361.764423132029,2.6417375441559177
0 days 00:03:51,,-,2.77721404072027,37.4287606566074,2.34108677110144,-,24.2861367582988,0.842962312870303,36.36,72.68364,28.4055208406726,10.8283948924134,803.466901017075,366.83100911846,361.764423132029,2.730044334453577
0 days 00:03:52,,-,2.68831522888818,36.2306634621049,2.23805952278513,-,24.58521206508,0.832513798506706,36.8,71.392,28.6248542847423,10.4546347208155,775.733896284508,326.758820321568,376.500248044298,2.8793147886689066
