t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett
0:00:07,,-,1.54641580369433,28.0147790524335,1.59917438843041,-,26.3194413189308,1.03411668751059,36.8,45.5952,0,8.38414541274027,462.804826783263,421.114693848307,0
0:00:08,,-,1.56541944651698,28.3590479441482,1.6058042522756,-,25.8276783835529,1.0257980733844,30.15,44.4411,0.129346803329888,8.48717676072332,468.492157191927,426.289701249386,0
0:00:09,,-,1.51226709011371,27.3961429368426,1.5279169731665,-,25.3807017628836,1.01034862370218,36.8,43.2768,0.257274178385357,8.19900259433793,452.584943207454,411.81543227166,0
0:00:10,,-,1.51226709011371,27.3961429368426,1.5279169731665,-,25.3807017628836,1.01034862370218,36.8,43.2768,0.382992218165205,8.19900259433793,452.584943207454,411.81543227166,0
0:00:11,,-,1.59768275966243,28.9435282547541,1.62276135966243,-,26.0058761657908,1.01569685837087,33.89,46.05651,0.512260652783488,8.66209757326413,478.14778604418,435.075536989889,0
0:00:12,,-,1.59768275966243,28.9435282547541,1.62276135966243,-,26.0058761657908,1.01569685837087,33.89,46.05651,0.645079482240205,8.66209757326413,478.14778604418,435.075536989889,0
0:00:13,,-,1.6899763373051,30.6155133569765,1.7328811373051,-,26.764777116423,1.02538781109114,36.36,50.06772,0.781734594236348,9.16248225231983,505.769020328055,460.208610255379,0
0:00:14,,-,1.69000303803705,30.6159970658886,1.73290783803705,-,26.764354253787,1.0253874099835,36.36,50.06772,0.922227098616768,9.16262701469148,505.777011210969,460.215881307921,0
0:00:15,,-,1.5244322034701,27.616525425183,1.57407958460518,-,26.9278947968676,1.0325677855808,33.51,45.50658,1.05583858173486,8.264957739842,456.225667239278,415.128194579487,0
0:00:16,,-,1.58227163818119,28.6643412713984,1.64401989551064,-,27.1523352648758,1.03902506740273,33.33,47.39526,1.18497209250892,8.57854366547078,473.535610333987,430.878832785932,0
0:00:17,,-,1.58227163818119,28.6643412713984,1.64401989551064,-,27.1523352648758,1.03902506740273,33.33,47.39526,1.31650976204614,8.57854366547078,473.535610333987,430.878832785932,0
0:00:18,,-,1.58227163818119,28.6643412713984,1.64401989551064,-,27.1523352648758,1.03902506740273,33.33,47.39526,1.44804743158336,8.57854366547078,473.535610333987,430.878832785932,0
0:00:19,,-,1.21195720303747,21.9557464318382,1.22276746817692,-,22.1984076109066,1.008919675639,24.48,30.15936,1.56419258044986,6.57082357798553,362.709461504801,330.036064876673,0
0:00:20,,-,1.21195720303747,21.9557464318382,1.22276746817692,-,22.1984076109066,1.008919675639,24.48,30.15936,1.66494520864564,6.57082357798553,362.709461504801,330.036064876673,0
0:00:21,,-,1.73403328364798,31.4136464428982,1.71882493448337,-,25.0992875456452,0.991229494088712,35.5,48.2445,1.78739849471441,9.40134417011551,518.954198190376,472.206048089853,0
0:00:22,,-,1.76291845966227,31.9369286170701,1.77326848898005,-,24.7670558786732,1.00587096315264,33.33,48.09519,1.93275308228949,9.55794986141656,527.598832350194,480.071961012467,0
0:00:23,,-,1.76291845966227,31.9369286170701,1.77326848898005,-,24.7670558786732,1.00587096315264,33.33,48.09519,2.07930831349788,9.55794986141656,527.598832350194,480.071961012467,0
0:00:24,,-,1.66698213687507,30.1989517549832,1.68589247954563,-,25.8925090108717,1.01134405837486,33.33,47.59524,2.2218758475186,9.03781544563401,498.887412598998,453.946907774555,0
0:00:25,,-,1.66698213687507,30.1989517549832,1.68589247954563,-,25.8925090108717,1.01134405837486,33.33,47.59524,2.36045568435165,9.03781544563401,498.887412598998,453.946907774555,0
0:00:26,,-,1.64672493258532,29.8319734164008,1.68921181458505,-,28.1331927896826,1.02580083726128,33.89,50.835,2.4981935085431,8.92798770977208,492.824921579419,448.430534776864,0
