t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,V'O2_filtered
0 days 00:03:02,,-,0.198626433859629,3.35517624762887,0.268601324563259,-,47.662840318074,1.35229394871521,30.15,13.47705,15.9633565149147,1.00412305565013,59.4440848944877,54.0892751387791,0,0.19914677095965538
0 days 00:03:03,,-,0.605858463103406,10.2340956605305,0.821350681779077,-,31.5232041196069,1.35568079312097,45.8,25.19,15.9967958011823,3.0628171660818,181.318776232042,164.985316753545,0,0.4613256481773385
0 days 00:03:04,,-,0.605858463103406,10.2340956605305,0.821350681779077,-,31.5232041196069,1.35568079312097,45.8,25.19,16.0471621279134,3.0628171660818,181.318776232042,164.985316753545,0,0.7967202176214428
0 days 00:03:05,,-,1.3178994050139,22.2618142738835,1.73585031157448,-,28.3288086009919,1.31713414921541,37.26,42.2901,16.1271252077727,6.66242227626791,394.41539875506,358.885885115409,0,1.2099472656480206
0 days 00:03:06,,-,1.5936441941117,26.919665441076,2.12100368837577,-,33.1394549643736,1.33091420042981,42.25,58.43175,16.2481466716426,8.05640441061036,476.939141108133,433.975768550237,0,1.6171056640532318
0 days 00:03:07,,-,1.91780351128232,32.3953295824716,2.62586642593068,-,34.8161423249009,1.369205140403,51.72,73.64928,16.3941037995857,9.69513817705786,573.952180081825,522.249731660463,0,1.8965012464838926
0 days 00:03:08,,-,1.91780351128232,32.3953295824716,2.62586642593068,-,34.8161423249009,1.369205140403,51.72,73.64928,16.5535349607195,9.69513817705786,573.952180081825,522.249731660463,0,1.9717772376632303
0 days 00:03:09,,-,1.92368638440523,32.4947024392776,2.74890884259074,-,39.4415849771991,1.42897972604856,51.72,82.752,16.7132106498478,9.72487806827676,575.712781641984,523.851735667527,0,1.864594644776201
0 days 00:03:10,,-,1.69452763882202,28.6237776828044,2.56845605989445,-,45.5437363380213,1.51573571362929,50.84,83.93684,16.8636056354551,8.56640396504344,507.131114730572,461.448005210041,0,1.6835135517254778
0 days 00:03:11,,-,1.48022209177307,25.0037515502208,2.36064502863115,-,49.1423823521422,1.59479110719357,46.51,78.92747,16.9955675473195,7.48301774819357,442.994650693059,403.089047276531,0,1.551912709368579
